Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Galian Parem (Parem Tabuk),"Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.",Madura Sari,Jamu Perawatan Kewanitaan,147,"jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.",jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas menghilangkan letih lesu dan pegal pegal setelah melahirkan,"['jamu', 'pertama', 'yang', 'diminum', 'setelah', 'melahirkan', 'untuk', 'menuntaskan', 'keluarnya', 'darah', 'nifas', 'menghilangkan', 'letih', 'lesu', 'dan', 'pegal', 'pegal', 'setelah', 'melahirkan']","['jamu', 'diminum', 'melahirkan', 'menuntaskan', 'keluarnya', 'darah', 'nifas', 'menghilangkan', 'letih', 'lesu', 'pegal', 'pegal', 'melahirkan']","['jamu', 'minum', 'lahir', 'tuntas', 'keluar', 'darah', 'nifas', 'hilang', 'letih', 'lesu', 'pegal', 'pegal', 'lahir']"
Black Garlic (Bawang Hitam Tunggal),"Menjaga kesehatan jantung, memperbaiki metabolisme tubuh, meningkatkan imunitas tubuh, mengurangi resiko kanker, tinggi antioksidan, menurunkan kadar kolesterol, mengontrol gula, mencegah penuaan, melindungi dari infeksi",Madura Sari,Jamu Kesehatan,220,"menjaga kesehatan jantung, memperbaiki metabolisme tubuh, meningkatkan imunitas tubuh, mengurangi resiko kanker, tinggi antioksidan, menurunkan kadar kolesterol, mengontrol gula, mencegah penuaan, melindungi dari infeksi",menjaga kesehatan jantung memperbaiki metabolisme tubuh meningkatkan imunitas tubuh mengurangi resiko kanker tinggi antioksidan menurunkan kadar kolesterol mengontrol gula mencegah penuaan melindungi dari infeksi,"['menjaga', 'kesehatan', 'jantung', 'memperbaiki', 'metabolisme', 'tubuh', 'meningkatkan', 'imunitas', 'tubuh', 'mengurangi', 'resiko', 'kanker', 'tinggi', 'antioksidan', 'menurunkan', 'kadar', 'kolesterol', 'mengontrol', 'gula', 'mencegah', 'penuaan', 'melindungi', 'dari', 'infeksi']","['menjaga', 'kesehatan', 'jantung', 'memperbaiki', 'metabolisme', 'tubuh', 'meningkatkan', 'imunitas', 'tubuh', 'mengurangi', 'resiko', 'kanker', 'antioksidan', 'menurunkan', 'kadar', 'kolesterol', 'mengontrol', 'gula', 'mencegah', 'penuaan', 'melindungi', 'infeksi']","['jaga', 'sehat', 'jantung', 'baik', 'metabolisme', 'tubuh', 'tingkat', 'imunitas', 'tubuh', 'kurang', 'resiko', 'kanker', 'antioksidan', 'turun', 'kadar', 'kolesterol', 'kontrol', 'gula', 'cegah', 'tua', 'lindung', 'infeksi']"
Jamu Jakula,"Menambah kejantanan dan kekuatan Sex, Mempercepat Ereksi Lemah Syahwat, Mengobati Ejakulasi Dini, Menambah Frekuensi Hubungan Intim & Tahan Lama",PT. Firdaus,Jamu Pasutri,144,"menambah kejantanan dan kekuatan sex, mempercepat ereksi lemah syahwat, mengobati ejakulasi dini, menambah frekuensi hubungan intim & tahan lama",menambah kejantanan dan kekuatan sex mempercepat ereksi lemah syahwat mengobati ejakulasi dini menambah frekuensi hubungan intim  tahan lama,"['menambah', 'kejantanan', 'dan', 'kekuatan', 'sex', 'mempercepat', 'ereksi', 'lemah', 'syahwat', 'mengobati', 'ejakulasi', 'dini', 'menambah', 'frekuensi', 'hubungan', 'intim', 'tahan', 'lama']","['menambah', 'kejantanan', 'kekuatan', 'sex', 'mempercepat', 'ereksi', 'lemah', 'syahwat', 'mengobati', 'ejakulasi', 'menambah', 'frekuensi', 'hubungan', 'intim', 'tahan']","['tambah', 'jantan', 'kuat', 'sex', 'cepat', 'ereksi', 'lemah', 'syahwat', 'obat', 'ejakulasi', 'tambah', 'frekuensi', 'hubung', 'intim', 'tahan']"
Sehat Laki-Laki (Perkasa),"Menambahkan Stamina dalam berhubungan bagi laki-laki, Menambah Hormon, mengentalkan Sperma, Mencegah Ejakulasi Dini.",Mustika Madura,Jamu Pasutri,116,"menambahkan stamina dalam berhubungan bagi laki-laki, menambah hormon, mengentalkan sperma, mencegah ejakulasi dini.",menambahkan stamina dalam berhubungan bagi lakilaki menambah hormon mengentalkan sperma mencegah ejakulasi dini,"['menambahkan', 'stamina', 'dalam', 'berhubungan', 'bagi', 'lakilaki', 'menambah', 'hormon', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'dini']","['stamina', 'berhubungan', 'lakilaki', 'menambah', 'hormon', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi']","['stamina', 'hubung', 'lakilaki', 'tambah', 'hormon', 'kental', 'sperma', 'cegah', 'ejakulasi']"
Helbeh Mutiara (Jamu Kuat),"Menambah Stamina Pria saat berhubungan, Mengatasi Ejakulasi Dini, menambahkan Gairah Tubuh Saat Berhubungan, Membengkitkan Napsu saat berhubungan.",Karya Ibu Abdullah,Jamu Pasutri,146,"menambah stamina pria saat berhubungan, mengatasi ejakulasi dini, menambahkan gairah tubuh saat berhubungan, membengkitkan napsu saat berhubungan.",menambah stamina pria saat berhubungan mengatasi ejakulasi dini menambahkan gairah tubuh saat berhubungan membengkitkan napsu saat berhubungan,"['menambah', 'stamina', 'pria', 'saat', 'berhubungan', 'mengatasi', 'ejakulasi', 'dini', 'menambahkan', 'gairah', 'tubuh', 'saat', 'berhubungan', 'membengkitkan', 'napsu', 'saat', 'berhubungan']","['menambah', 'stamina', 'pria', 'berhubungan', 'mengatasi', 'ejakulasi', 'gairah', 'tubuh', 'berhubungan', 'membengkitkan', 'napsu', 'berhubungan']","['tambah', 'stamina', 'pria', 'hubung', 'atas', 'ejakulasi', 'gairah', 'tubuh', 'hubung', 'membengkitkan', 'napsu', 'hubung']"
Jamu tradisional madura sehat,"Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.",UD. Lancar Jaya Madura,Jamu Perawatan Kewanitaan,147,"jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.",jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas menghilangkan letih lesu dan pegal pegal setelah melahirkan,"['jamu', 'pertama', 'yang', 'diminum', 'setelah', 'melahirkan', 'untuk', 'menuntaskan', 'keluarnya', 'darah', 'nifas', 'menghilangkan', 'letih', 'lesu', 'dan', 'pegal', 'pegal', 'setelah', 'melahirkan']","['jamu', 'diminum', 'melahirkan', 'menuntaskan', 'keluarnya', 'darah', 'nifas', 'menghilangkan', 'letih', 'lesu', 'pegal', 'pegal', 'melahirkan']","['jamu', 'minum', 'lahir', 'tuntas', 'keluar', 'darah', 'nifas', 'hilang', 'letih', 'lesu', 'pegal', 'pegal', 'lahir']"
Ramuan Ummi Jafir,"Menyegarkan badan, melancarkan pencernaan, menguatkan imun, dan menghangatkan badan",PT. Firdaus,Jamu Kesehatan,83,"menyegarkan badan, melancarkan pencernaan, menguatkan imun, dan menghangatkan badan",menyegarkan badan melancarkan pencernaan menguatkan imun dan menghangatkan badan,"['menyegarkan', 'badan', 'melancarkan', 'pencernaan', 'menguatkan', 'imun', 'dan', 'menghangatkan', 'badan']","['menyegarkan', 'badan', 'melancarkan', 'pencernaan', 'menguatkan', 'imun', 'menghangatkan', 'badan']","['segar', 'badan', 'lancar', 'cerna', 'kuat', 'imun', 'hangat', 'badan']"
Jamu Sakera,"Menurunkan gula darah, kolesterol, dan trigliserida, mengendalikan hipertensi, meningkatkan kesehatan jantung, meningkatkan kesehatan ginjal, menurunkan asam urat, mencegah kanker, meningkatkan imun, ",CV. Sehat Berkah Semesta,Jamu Kesehatan,200,"menurunkan gula darah, kolesterol, dan trigliserida, mengendalikan hipertensi, meningkatkan kesehatan jantung, meningkatkan kesehatan ginjal, menurunkan asam urat, mencegah kanker, meningkatkan imun, ",menurunkan gula darah kolesterol dan trigliserida mengendalikan hipertensi meningkatkan kesehatan jantung meningkatkan kesehatan ginjal menurunkan asam urat mencegah kanker meningkatkan imun ,"['menurunkan', 'gula', 'darah', 'kolesterol', 'dan', 'trigliserida', 'mengendalikan', 'hipertensi', 'meningkatkan', 'kesehatan', 'jantung', 'meningkatkan', 'kesehatan', 'ginjal', 'menurunkan', 'asam', 'urat', 'mencegah', 'kanker', 'meningkatkan', 'imun']","['menurunkan', 'gula', 'darah', 'kolesterol', 'trigliserida', 'mengendalikan', 'hipertensi', 'meningkatkan', 'kesehatan', 'jantung', 'meningkatkan', 'kesehatan', 'ginjal', 'menurunkan', 'asam', 'urat', 'mencegah', 'kanker', 'meningkatkan', 'imun']","['turun', 'gula', 'darah', 'kolesterol', 'trigliserida', 'kendali', 'hipertensi', 'tingkat', 'sehat', 'jantung', 'tingkat', 'sehat', 'ginjal', 'turun', 'asam', 'urat', 'cegah', 'kanker', 'tingkat', 'imun']"
Lanange Jagad,"Memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari",Kedai Rimpang,Jamu Pasutri,75,"memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari",memperbaiki ejakulasi dini memberi kekuatan lebih tahan lama berharihari,"['memperbaiki', 'ejakulasi', 'dini', 'memberi', 'kekuatan', 'lebih', 'tahan', 'lama', 'berharihari']","['memperbaiki', 'ejakulasi', 'kekuatan', 'tahan', 'berharihari']","['baik', 'ejakulasi', 'kuat', 'tahan', 'berharihari']"
Kuncup wangi,"Anti keputihan dan lendir, anti bau tidak sedap di badan dan miss v, merapatkan otot miss v, antiseptik dan anti bakteri, menghilangkan gatal miss v",Kedai Rimpang,Jamu Perawatan Kewanitaan,148,"anti keputihan dan lendir, anti bau tidak sedap di badan dan miss v, merapatkan otot miss v, antiseptik dan anti bakteri, menghilangkan gatal miss v",anti keputihan dan lendir anti bau tidak sedap di badan dan miss v merapatkan otot miss v antiseptik dan anti bakteri menghilangkan gatal miss v,"['anti', 'keputihan', 'dan', 'lendir', 'anti', 'bau', 'tidak', 'sedap', 'di', 'badan', 'dan', 'miss', 'v', 'merapatkan', 'otot', 'miss', 'v', 'antiseptik', 'dan', 'anti', 'bakteri', 'menghilangkan', 'gatal', 'miss', 'v']","['anti', 'keputihan', 'lendir', 'anti', 'bau', 'sedap', 'badan', 'miss', 'v', 'merapatkan', 'otot', 'miss', 'v', 'antiseptik', 'anti', 'bakteri', 'menghilangkan', 'gatal', 'miss', 'v']","['anti', 'putih', 'lendir', 'anti', 'bau', 'sedap', 'badan', 'miss', 'v', 'rapat', 'otot', 'miss', 'v', 'antiseptik', 'anti', 'bakteri', 'hilang', 'gatal', 'miss', 'v']"
Sakera Ramuan Pria Dasyat,"Meningkatkan gairah sex, memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari",Kedai Rimpang,Jamu Pasutri,100,"meningkatkan gairah sex, memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari",meningkatkan gairah sex memperbaiki ejakulasi dini memberi kekuatan lebih tahan lama berharihari,"['meningkatkan', 'gairah', 'sex', 'memperbaiki', 'ejakulasi', 'dini', 'memberi', 'kekuatan', 'lebih', 'tahan', 'lama', 'berharihari']","['meningkatkan', 'gairah', 'sex', 'memperbaiki', 'ejakulasi', 'kekuatan', 'tahan', 'berharihari']","['tingkat', 'gairah', 'sex', 'baik', 'ejakulasi', 'kuat', 'tahan', 'berharihari']"
Jamu Wiraraja,"Meningkatkan kesegaran badan, memulihkan stamina, dan melancarkan peredaran darah",Kedai Rimpang,Jamu Kesehatan,81,"meningkatkan kesegaran badan, memulihkan stamina, dan melancarkan peredaran darah",meningkatkan kesegaran badan memulihkan stamina dan melancarkan peredaran darah,"['meningkatkan', 'kesegaran', 'badan', 'memulihkan', 'stamina', 'dan', 'melancarkan', 'peredaran', 'darah']","['meningkatkan', 'kesegaran', 'badan', 'memulihkan', 'stamina', 'melancarkan', 'peredaran', 'darah']","['tingkat', 'segar', 'badan', 'pulih', 'stamina', 'lancar', 'edar', 'darah']"
Manjavikan,"Mengatasi keputihan, melancarkan haid, mengatasi nyeri haid, melancarkan asi, membantu promil, merapatkan miss v",PT. Mahkota Sukses Indonesia,Jamu Perawatan Kewanitaan,112,"mengatasi keputihan, melancarkan haid, mengatasi nyeri haid, melancarkan asi, membantu promil, merapatkan miss v",mengatasi keputihan melancarkan haid mengatasi nyeri haid melancarkan asi membantu promil merapatkan miss v,"['mengatasi', 'keputihan', 'melancarkan', 'haid', 'mengatasi', 'nyeri', 'haid', 'melancarkan', 'asi', 'membantu', 'promil', 'merapatkan', 'miss', 'v']","['mengatasi', 'keputihan', 'melancarkan', 'haid', 'mengatasi', 'nyeri', 'haid', 'melancarkan', 'asi', 'membantu', 'promil', 'merapatkan', 'miss', 'v']","['atas', 'putih', 'lancar', 'haid', 'atas', 'nyeri', 'haid', 'lancar', 'asi', 'bantu', 'promil', 'rapat', 'miss', 'v']"
Rukun Wanita (Sorga),"Baik untuk ibu yang sering mengalami kegelapan dalam berhubungan suami istri, Menghilangkan bau yang tidak sedap pada miss V, Mengencangkan Otot kewanitaan",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,155,"baik untuk ibu yang sering mengalami kegelapan dalam berhubungan suami istri, menghilangkan bau yang tidak sedap pada miss v, mengencangkan otot kewanitaan",baik untuk ibu yang sering mengalami kegelapan dalam berhubungan suami istri menghilangkan bau yang tidak sedap pada miss v mengencangkan otot kewanitaan,"['baik', 'untuk', 'ibu', 'yang', 'sering', 'mengalami', 'kegelapan', 'dalam', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'bau', 'yang', 'tidak', 'sedap', 'pada', 'miss', 'v', 'mengencangkan', 'otot', 'kewanitaan']","['mengalami', 'kegelapan', 'berhubungan', 'suami', 'istri', 'menghilangkan', 'bau', 'sedap', 'miss', 'v', 'mengencangkan', 'otot', 'kewanitaan']","['alami', 'gelap', 'hubung', 'suami', 'istri', 'hilang', 'bau', 'sedap', 'miss', 'v', 'encang', 'otot', 'wanita']"
Madu Asmara Spray (Kecil),"Menghilangkan keputihan, Merapatkan miss v seketika, miss v jadi harum menggoda untuk pasangan pasutri",Madura Sari,Jamu Pasutri,102,"menghilangkan keputihan, merapatkan miss v seketika, miss v jadi harum menggoda untuk pasangan pasutri",menghilangkan keputihan merapatkan miss v seketika miss v jadi harum menggoda untuk pasangan pasutri,"['menghilangkan', 'keputihan', 'merapatkan', 'miss', 'v', 'seketika', 'miss', 'v', 'jadi', 'harum', 'menggoda', 'untuk', 'pasangan', 'pasutri']","['menghilangkan', 'keputihan', 'merapatkan', 'miss', 'v', 'miss', 'v', 'harum', 'menggoda', 'pasangan', 'pasutri']","['hilang', 'putih', 'rapat', 'miss', 'v', 'miss', 'v', 'harum', 'goda', 'pasang', 'pasutri']"
Bubuk Madu Asmara,"Untuk Pasangan suami istri, membuat miss v keset rapet, membuat suami tahan lama",berkah madu/sumber madu,Jamu Pasutri,80,"untuk pasangan suami istri, membuat miss v keset rapet, membuat suami tahan lama",untuk pasangan suami istri membuat miss v keset rapet membuat suami tahan lama,"['untuk', 'pasangan', 'suami', 'istri', 'membuat', 'miss', 'v', 'keset', 'rapet', 'membuat', 'suami', 'tahan', 'lama']","['pasangan', 'suami', 'istri', 'miss', 'v', 'keset', 'rapet', 'suami', 'tahan']","['pasang', 'suami', 'istri', 'miss', 'v', 'keset', 'rapet', 'suami', 'tahan']"
Jantala (Tahan Lama),"Membuat tahan lama dalam berhubungan suami istri, dan meningkatkan stamina suami",berkah madu/sumber madu,Jamu Pasutri,80,"membuat tahan lama dalam berhubungan suami istri, dan meningkatkan stamina suami",membuat tahan lama dalam berhubungan suami istri dan meningkatkan stamina suami,"['membuat', 'tahan', 'lama', 'dalam', 'berhubungan', 'suami', 'istri', 'dan', 'meningkatkan', 'stamina', 'suami']","['tahan', 'berhubungan', 'suami', 'istri', 'meningkatkan', 'stamina', 'suami']","['tahan', 'hubung', 'suami', 'istri', 'tingkat', 'stamina', 'suami']"
Harumita,"Mengencangkan kembali otot otot kewanitaan, Mengurangi lendir berlebihan pada daerah kewanitaan, Memberikan kepuasan hubungan suami istri, Menjaga kesehatan wanita, Menjaga agar awet muda.",berkah madu/sumber madu,Jamu Pasutri,188,"mengencangkan kembali otot otot kewanitaan, mengurangi lendir berlebihan pada daerah kewanitaan, memberikan kepuasan hubungan suami istri, menjaga kesehatan wanita, menjaga agar awet muda.",mengencangkan kembali otot otot kewanitaan mengurangi lendir berlebihan pada daerah kewanitaan memberikan kepuasan hubungan suami istri menjaga kesehatan wanita menjaga agar awet muda,"['mengencangkan', 'kembali', 'otot', 'otot', 'kewanitaan', 'mengurangi', 'lendir', 'berlebihan', 'pada', 'daerah', 'kewanitaan', 'memberikan', 'kepuasan', 'hubungan', 'suami', 'istri', 'menjaga', 'kesehatan', 'wanita', 'menjaga', 'agar', 'awet', 'muda']","['mengencangkan', 'otot', 'otot', 'kewanitaan', 'mengurangi', 'lendir', 'daerah', 'kewanitaan', 'kepuasan', 'hubungan', 'suami', 'istri', 'menjaga', 'kesehatan', 'wanita', 'menjaga', 'awet', 'muda']","['encang', 'otot', 'otot', 'wanita', 'kurang', 'lendir', 'daerah', 'wanita', 'puas', 'hubung', 'suami', 'istri', 'jaga', 'sehat', 'wanita', 'jaga', 'awet', 'muda']"
sari rapet,"menambah kenikmatan dalam Hubungan suami istri, memberikan kebahagiaan suami istri, Menghilangkan rasa gatal dan bau pada Miss V",berkah madu/sumber madu,Jamu Pasutri,128,"menambah kenikmatan dalam hubungan suami istri, memberikan kebahagiaan suami istri, menghilangkan rasa gatal dan bau pada miss v",menambah kenikmatan dalam hubungan suami istri memberikan kebahagiaan suami istri menghilangkan rasa gatal dan bau pada miss v,"['menambah', 'kenikmatan', 'dalam', 'hubungan', 'suami', 'istri', 'memberikan', 'kebahagiaan', 'suami', 'istri', 'menghilangkan', 'rasa', 'gatal', 'dan', 'bau', 'pada', 'miss', 'v']","['menambah', 'kenikmatan', 'hubungan', 'suami', 'istri', 'kebahagiaan', 'suami', 'istri', 'menghilangkan', 'gatal', 'bau', 'miss', 'v']","['tambah', 'nikmat', 'hubung', 'suami', 'istri', 'bahagia', 'suami', 'istri', 'hilang', 'gatal', 'bau', 'miss', 'v']"
Bubuk Asmara,Membuat tahan lama saat bercinta untuk suami istri,berkah madu/sumber madu,Jamu Pasutri,50,membuat tahan lama saat bercinta untuk suami istri,membuat tahan lama saat bercinta untuk suami istri,"['membuat', 'tahan', 'lama', 'saat', 'bercinta', 'untuk', 'suami', 'istri']","['tahan', 'bercinta', 'suami', 'istri']","['tahan', 'cinta', 'suami', 'istri']"
Jamu Ratu Madura,"Membuat vagina rapet seperti perawan, menghilangkan becek berlebihan, menambah gairah seksual, menjepit saat berhubungan",Jamu neng shelfi,Jamu Pasutri,120,"membuat vagina rapet seperti perawan, menghilangkan becek berlebihan, menambah gairah seksual, menjepit saat berhubungan",membuat vagina rapet seperti perawan menghilangkan becek berlebihan menambah gairah seksual menjepit saat berhubungan,"['membuat', 'vagina', 'rapet', 'seperti', 'perawan', 'menghilangkan', 'becek', 'berlebihan', 'menambah', 'gairah', 'seksual', 'menjepit', 'saat', 'berhubungan']","['vagina', 'rapet', 'perawan', 'menghilangkan', 'becek', 'menambah', 'gairah', 'seksual', 'menjepit', 'berhubungan']","['vagina', 'rapet', 'perawan', 'hilang', 'becek', 'tambah', 'gairah', 'seksual', 'jepit', 'hubung']"
Jamu Wasir,"Mengobati sakit wasir atau ambeien ( ambeien ) dan akibatnya, hingga sembuh total",ribkah maryam jokotole,Jamu Kesehatan,81,"mengobati sakit wasir atau ambeien ( ambeien ) dan akibatnya, hingga sembuh total",mengobati sakit wasir atau ambeien  ambeien  dan akibatnya hingga sembuh total,"['mengobati', 'sakit', 'wasir', 'atau', 'ambeien', 'ambeien', 'dan', 'akibatnya', 'hingga', 'sembuh', 'total']","['mengobati', 'sakit', 'wasir', 'ambeien', 'ambeien', 'akibatnya', 'sembuh', 'total']","['obat', 'sakit', 'wasir', 'ambeien', 'ambeien', 'akibat', 'sembuh', 'total']"
Jamu Super Pengental Sperma,"Menambahkan dan meningkatkan kualitas sperma dalam berhubungan suami istri, menjadikan ereksi lebih kuat, sperma lebih deras saat keluar",JKU SUPER,Jamu Pasutri,136,"menambahkan dan meningkatkan kualitas sperma dalam berhubungan suami istri, menjadikan ereksi lebih kuat, sperma lebih deras saat keluar",menambahkan dan meningkatkan kualitas sperma dalam berhubungan suami istri menjadikan ereksi lebih kuat sperma lebih deras saat keluar,"['menambahkan', 'dan', 'meningkatkan', 'kualitas', 'sperma', 'dalam', 'berhubungan', 'suami', 'istri', 'menjadikan', 'ereksi', 'lebih', 'kuat', 'sperma', 'lebih', 'deras', 'saat', 'keluar']","['meningkatkan', 'kualitas', 'sperma', 'berhubungan', 'suami', 'istri', 'menjadikan', 'ereksi', 'kuat', 'sperma', 'deras']","['tingkat', 'kualitas', 'sperma', 'hubung', 'suami', 'istri', 'jadi', 'ereksi', 'kuat', 'sperma', 'deras']"
Jamu Super Rasa Kopi,"Asma, Asam Urat, Maag, Amandel, Kencing manis, Eksim ,Darah Tinggi.",CV. Wahyu Ilahi,Jamu Kesehatan,67,"asma, asam urat, maag, amandel, kencing manis, eksim ,darah tinggi.",asma asam urat maag amandel kencing manis eksim darah tinggi,"['asma', 'asam', 'urat', 'maag', 'amandel', 'kencing', 'manis', 'eksim', 'darah', 'tinggi']","['asma', 'asam', 'urat', 'maag', 'amandel', 'kencing', 'manis', 'eksim', 'darah']","['asma', 'asam', 'urat', 'maag', 'amandel', 'kencing', 'manis', 'eksim', 'darah']"
Jamu Khusus Penganten,"mengharumkan dan menyegarkan badan serta menghilangkan kelesuan dan memberikan kekuatan baru, membuat muka tidak pucat dan menambah gairah pengantin baru. ",Sumber Madu,Jamu Pasutri,155,"mengharumkan dan menyegarkan badan serta menghilangkan kelesuan dan memberikan kekuatan baru, membuat muka tidak pucat dan menambah gairah pengantin baru. ",mengharumkan dan menyegarkan badan serta menghilangkan kelesuan dan memberikan kekuatan baru membuat muka tidak pucat dan menambah gairah pengantin baru ,"['mengharumkan', 'dan', 'menyegarkan', 'badan', 'serta', 'menghilangkan', 'kelesuan', 'dan', 'memberikan', 'kekuatan', 'baru', 'membuat', 'muka', 'tidak', 'pucat', 'dan', 'menambah', 'gairah', 'pengantin', 'baru']","['mengharumkan', 'menyegarkan', 'badan', 'menghilangkan', 'kelesuan', 'kekuatan', 'muka', 'pucat', 'menambah', 'gairah', 'pengantin']","['harum', 'segar', 'badan', 'hilang', 'lesu', 'kuat', 'muka', 'pucat', 'tambah', 'gairah', 'pengantin']"
